facility_name,facility_type,county,latitude,longitude,open_year
Freedom Center of Rochester,clinic,Monroe,43.102992,-77.582603,
Pathways Nursing and Rehabilitation Center,nursing home,Schenectady,42.829273,-73.897346,1989
Rochester Center for Rehabilitation and Nursing,nursing home,Monroe,43.128445,-77.686188,1980
Seneca Co Dept of Health,clinic,Seneca,42.906805,-76.842128,1979
Albany County Health Dept,clinic,Albany,42.641979,-73.75441,1979
Capstone Center for Rehabilitation and Nursing,nursing home,Montgomery,42.914402,-74.104347,
Golisano Children's Hospital of Buffalo,hospital,Erie,42.900716,-78.867203,1978
"CFDSHC, Inc.",clinic,Schenectady,42.891899,-73.902657,1994
"Community Health Center of Buffalo, Inc - School Based Mobile Dental Equipment",clinic,Erie,42.942196,-78.834199,2017
Rome Mem Hosp-1617 North James St,hospital,Oneida,43.230515,-75.443222,1997
Mary Agnes Manor ALP,other,Erie,42.901939,-78.890804,1991
Oak Orchard Health Dental at Albion,clinic,Orleans,43.23453,-78.19445,2022
Sodus Rehabilitation & Nursing Center,nursing home,Wayne,43.248711,-77.062515,1987
Kaleida Health SB Dental Prog,hospital,Erie,42.904278,-78.853905,2008
Massry Residence at Daughters of Sarah,other,Albany,42.699729,-73.853422,2002
Rochester General Hospital,hospital,Monroe,43.192619,-77.584503,1847
Sisters Health Center D'Youville,hospital,Erie,42.90493,-78.8894,2021
Brookdale Fayetteville,other,Onondaga,43.019142,-76.011854,1997
Hilton East Assisted Living,other,Monroe,43.289143,-77.78571,
FMS-Kenmore Artificial Kidney Center,clinic,Erie,42.981045,-78.87825,1994
West Hertel Academy,hospital,Erie,42.946358,-78.890274,2002
Church Home of the Protestant Episcopal Church,nursing home,Monroe,43.140167,-77.613838,
Build Academy #91,hospital,Erie,42.908279,-78.828979,1997
Mount St. Mary's Neighborhood Health Center,hospital,Niagara,43.120728,-79.048706,1998
Eddy Village Green at Beverwyck,nursing home,Albany,42.65839,-73.838501,2011
Wayne Medical Group/The Commons,hospital,Wayne,43.234003,-77.170669,2000
Joy Family Medicine,clinic,Monroe,43.170639,-77.578865,
Dr Lydia T Wright School,hospital,Erie,42.923153,-78.835899,2006
Brookdale Niagara Memory Care,other,Niagara,43.096467,-78.864856,2000
Mercy Home Care Of Western New York,other,Niagara,43.068927,-78.846854,2004
"United Cerebral Palsy Association of the Rochester Area, Inc",clinic,Monroe,43.083752,-77.581985,1946
Giffen Elementary School,clinic,Albany,42.641937,-73.756668,2007
The Village at Maiden Park,other,Monroe,43.222711,-77.6643,
University Hospital SUNY Health Science Center,hospital,Onondaga,43.042622,-76.138809,
Crouse Physical Rehabilitation,hospital,Onondaga,43.100786,-76.055984,2005
Eastman Dental Center-Mobile Dental Van #4,clinic,Monroe,43.124374,-77.622765,1917
Rochester General Medical Group,hospital,Monroe,43.126083,-77.516708,1847
Westminster Manor,other,Cayuga,42.925163,-76.566915,1993
FMS-Amsterdam Dialysis Center,clinic,Montgomery,42.937401,-74.190903,1998
Planned Parenthood of Central and Western New York,clinic,Niagara,43.096458,-79.049965,2006
MVHS Boonville Medical Office,hospital,Oneida,43.48672,-75.3312,1987
Sunnyside Care Center,nursing home,Onondaga,43.109051,-76.037949,1979
Ingersoll Place Licensed Home Care Services Agency,other,Albany,42.7804,-73.88744,2023
Cirrus Manor Residential Center,other,Monroe,43.19175,-77.56354,
Swineburn Health Center,clinic,Albany,42.67041,-73.77931,2022
"Elderone, An Affiliate Of Rochester Regional Health",other,Monroe,43.101738,-77.524919,
Little Falls Hospital Little Falls Health Center,hospital,Herkimer,43.044033,-74.846121,2019
All Metro Health Care,other,Schenectady,42.81998,-73.93759,2011
Charlotte High School,hospital,Monroe,43.246021,-77.61905,
Macedon (Kachoria) Family Practice,hospital,Wayne,43.064522,-77.327721,2013
"Interim Healthcare Of Syracuse, Inc.",other,Onondaga,43.068927,-76.098626,1996
Herkimer County Public Health Nursing Service,other,Herkimer,43.029119,-74.987706,2012
Midtown PT,hospital,Monroe,43.140305,-77.549881,
Latham Dialysis,clinic,Albany,42.74368,-73.74944,2021
Schyler Achievement Academy,clinic,Albany,42.668221,-73.774284,2007
U.S. Renal Care Hamilton Dialysis,clinic,Madison,42.82729,-75.54623,2023
Northpointe Council Methadone Maintenance Treatment Program,clinic,Niagara,43.099197,-79.05085,2009
Angels In Your Home,other,Monroe,43.290093,-77.785684,
Rochester General Hospital at Linden Oaks,hospital,Monroe,43.124584,-77.514755,1847
Liberty Home Care,other,Niagara,43.095248,-78.916229,2002
Cedarbrook,other,Oneida,43.055828,-75.237972,2009
Eastside Internal Medicine,hospital,Monroe,43.079835,-77.440809,
Ambulatory Surgery Center of Niagara,clinic,Niagara,43.108253,-78.990259,2016
The Hurlbut,nursing home,Monroe,43.097446,-77.613304,
